breed,kind,lifetime_cost,longevity,size,weight,height
Brittany,sporting,22589,12.92,medium,35,19
Cairn Terrier,terrier,21992,13.84,small,14,10
English Cocker Spaniel,sporting,18993,11.66,medium,30,16
Cocker Spaniel,sporting,24330,12.5,small,25,14.5
Shetland Sheepdog,herding,21006,12.53,small,22,14.5
Siberian Husky,working,22049,12.58,medium,47.5,21.75
Lhasa Apso,non-sporting,22031,13.92,small,15,10.5
Miniature Schnauzer,terrier,20087,11.81,small,15.5,13
Chihuahua,toy,26250,16.5,small,5.5,5
English Springer Spaniel,sporting,21946,12.54,medium,45,19.5
German Shorthaired Pointer,sporting,25842,11.46,large,62.5,24
Pointer,sporting,24445,12.42,large,59.5,25.5
Tibetan Spaniel,non-sporting,25549,14.42,small,12,10
Labrador Retriever,sporting,21299,12.04,medium,67.5,23
Maltese,toy,19084,12.25,small,5,9
Shih Tzu,toy,21152,13.2,small,12.5,9.75
Irish Setter,sporting,20323,11.63,large,65,26
Golden Retriever,sporting,21447,12.04,medium,60,22.75
Chesapeake Bay Retriever,sporting,16697,9.48,large,67.5,23.5
Tibetan Terrier,non-sporting,20336,12.31,small,24,15.5
Gordon Setter,sporting,19605,11.1,large,62.5,25
Pug,toy,18527,11,medium,16,16
Norfolk Terrier,terrier,24308,13.07,small,12,9.5
English Toy Spaniel,toy,17521,10.1,small,11,10
Cavalier King Charles Spaniel,toy,18639,11.29,small,15.5,12.5
Basenji,hound,22096,13.58,medium,23,16.5
Staffordshire Bull Terrier,terrier,21650,12.05,medium,31,15
Pembroke Welsh Corgi,herding,23978,12.25,small,26,11
Clumber Spaniel,sporting,18084,10,medium,70,18.5
Dandie Dinmont Terrier,terrier,21633,12.17,small,21,9
Giant Schnauzer,working,26686,10,large,77.5,25.5
Scottish Terrier,terrier,17525,10.69,small,20,10
Kerry Blue Terrier,terrier,17240,9.4,medium,36.5,18.5
Afghan Hound,hound,24077,11.92,large,55,26
Newfoundland,working,19351,9.32,large,125,27
Rhodesian Ridgeback,hound,16530,9.1,large,77.5,25.5
Borzoi,hound,16176,9.08,large,82.5,28
Bull Terrier,terrier,18490,10.21,medium,60,21.5
Alaskan Malamute,working,21986,10.67,large,80,24
Bloodhound,hound,13824,6.75,large,85,25
Bullmastiff,working,13936,7.57,large,115,25.5
Mastiff,working,13581,6.5,large,175,30
Saint Bernard,working,20022,7.78,large,155,26.5
